Well Name,API,Route,Company,Status
MARGARET 176-1H,42211354270000,N 112,Presidio,SI
MARGUERITE 1-13H,35129233670000,E 303,Presidio,Active
MARGUERITE 2H-13,35129240580000,E 303,Presidio,Active
MARIK #5-3,35149211560000,E 315,Presidio,Active
MARILYN 1-8H,35045228830100,E 300,Presidio,SI
MARILYN 3H-8,35045231570000,E 300,Presidio,Active
MARILYN 4H-8,35045235680000,E 300,Presidio,Active
MARKHAM 16-07,42211342790000,C 210,Presidio,SI
MARKHAM 1-8H,42211352150000,C 210,Presidio,Active
MARTIN #1-12 - ATOKA,35009208420000,E 313,Presidio,Active
"TAYLOR ""A"" #2",42357326440000,N 102,EQV,Active
MARTIN CLARK 30-93,42393316530000,N 105,Presidio,SI
MARTIN TRUST 01-82R,42393311180001,N 105,Presidio,SI
MARTIN TRUST 02-72,42393311100000,N 105,Presidio,SI
MARTIN TRUST 20-82,42393320060000,N 105,Presidio,SI
MARTIN TRUST 82-1H,42393326460000,N 105,Presidio,Active
MARTIN TRUST A 01-72,42393311040000,N 105,Presidio,SI
MARTIN TRUST A 01-81,42393310800000,N 105,Presidio,SI
MARTIN TRUST A 01-92,42393311030000,N 105,Presidio,Active
MARTIN TRUST B 02-81,42393311110000,N 105,Presidio,SI
MARTIN TRUST B 03-72,42393311120000,N 105,Presidio,SI
MARTIN TRUST C 03-81,42393314260000,N 105,Presidio,SI
JINES #481-1C,42357324310000,N 103,EQV,Active
MARTIN TRUST C 4081,42393317590001,N 105,Presidio,SI
MARTIN TRUST C 50-81H,42393320960000,N 105,Presidio,Active
MARTIN TRUST CCSL 02,42393311220000,N 105,Presidio,SI
"LIPS ""A"" #12",42393307990000,N 103,EQV,Active
"LIPS ""A"" #2",42357021870000,N 103,EQV,Active
"LIPS ""A"" #6",42393001990000,N 103,EQV,Active
MARY BUTLER 1-2,35047243410000,N 116,Presidio,SI
MARYLE 60-1H,42295340680000,N 102,Presidio,Active
MASTERSON #1-87H,42375318240000,N 100,Presidio,SI
MASTERSON 87 #2H,42375318490000,N 100,Presidio,Active
MATHERS-LINK 1-35,42211328280000,C 205,Presidio,Active
MATHEWS #1-32HC,35129236380000,C 205,Presidio,Active
"MCGARRAUGH ""B"" #6H",42357332580000,N 103,EQV,Active
"MCGARRAUGH ""B"" #7H",42357332590000,N 103,EQV,Active
"MCGARRAUGH ""B"" #8H",42357332600000,N 103,EQV,Active
MAULSBY 104,42393307790000,N 105,Presidio,SI
MAULSBY 2-4,42393308080000,N 105,Presidio,SI
MAULSBY 304,42393317460000,N 105,Presidio,SI
MAULSBY 401H,42393325180000,N 105,Presidio,SI
MAULSBY 404,42393317490000,N 105,Presidio,SI
MAULSBY 504,42393317470000,N 105,Presidio,SI
MAULSBY 604,42393317480000,N 105,Presidio,SI
MAULSBY 704,42393318430000,N 105,Presidio,SI
